st1,st2,st3,st4,st5,st6,st7,st8,st9,st10,st11,st12,st13,st14,st15,st16,st17,st18,st19,st20,st21,st22,st23,st24,st25,st26,st27,st28,st29,st30,st31,st32,st33,st34,st35,st36,st37,st38,st39,st40,st41,st42,st43,st44,st45,cpu-cycles,instructions,bus-cycles,cache-references,cache-misses,branch-instructions,branch-misses,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,L1-dcache-store-misses,L1-icache-loads,L1-icache-load-missesd,TLB-load-misses,iTLB-load-misses,LLC-loads,LLC-load-misses,LLC-stores,LLC-store-misses,Label
73,50,19,0,51,17,1,46,2,1,16,0,63,10,0,73,3,20,19,78,32,10,60,1,0,0,73,0,0,0,0,0,243,37,0,0,22,0,21978,5,7,0,67,64,0,2.444121,1,0.504911,0.545787,0.035582,0.069725,0.000372,0.413396,0.035498,0.132485,0.000082,0.315787,0.000001,0.032455,0.000001,0.09529,0.004272,0.035579,0.000009,Ofast
85,59,22,0,60,20,1,55,2,1,19,0,74,11,0,85,3,24,22,87,40,10,60,1,0,0,85,0,0,0,0,0,279,47,0,0,30,0,22097,7,7,0,76,67,0,3.055051,1,0.610353,0.508054,0.034278,0.065362,0.000246,0.381014,0.034615,0.126532,0.000082,0.270348,0.000001,0.030997,0.000001,0.096078,0.003961,0.034629,0.000008,Ofast
73,50,19,0,51,17,1,46,2,1,16,0,65,8,0,73,3,15,19,54,22,9,58,1,0,0,73,0,0,0,0,0,214,44,0,0,19,0,21939,2,7,1,41,39,0,2.367955,1,0.473591,0.564807,0.033067,0.07592,0.000026,0.410405,0.032992,0.153673,0.000075,0.223619,0.000001,0.028772,0,0.094701,0.004651,0.033063,0.000004,O3
67,45,18,0,46,16,1,40,3,2,14,0,59,8,0,67,4,21,18,61,23,10,111,2,0,0,67,0,0,0,0,0,232,48,0,0,17,0,21971,3,11,0,48,46,0,2.44212,1,0.995727,0.855221,0.104045,0.10907,0.000287,0.641179,0.103328,0.213994,0.000264,0.020677,0.000001,0.083929,0.000001,0.31259,0.003775,0.103766,0.000023,O3
77,53,20,0,54,18,1,49,2,1,17,0,70,7,0,77,3,14,20,55,23,9,58,1,0,0,77,0,0,0,0,0,207,40,0,0,20,0,22034,2,7,1,42,40,0,1.304642,1,0.947213,1.017081,0.148666,0.29856,0.000109,0.897345,0.14841,0.391436,0.00255,0.517299,0.000003,0.134957,0.000002,0.42053,0.018687,0.148693,0.000016,O3
93,65,24,0,66,22,1,61,2,1,21,0,80,13,0,93,3,20,24,85,28,17,39,1,0,0,93,0,0,0,0,0,307,62,0,0,27,0,21896,5,7,1,59,56,0,1.288035,1,0.704216,0.818027,0.184806,0.359784,0.000133,1.651364,0.184565,0.730405,0.000344,0.655248,0.000001,0.100061,0.000002,0.120953,0.022636,0.117175,0.00002,Ofast
44,26,14,0,28,10,2,19,6,3,7,0,40,4,0,44,7,12,14,28,21,0,58,2,0,2,37,7,0,0,1,0,125,24,0,0,13,0,22063,1,7,0,31,26,0,0.740005,1,0.177401,0.54309,0.002526,0.148821,0.003081,0.690636,0.002528,0.340111,0.00001,0.609581,0.000001,0.000037,0,0.005066,0.002295,0.002535,0.000001,O1
66,41,21,0,43,17,2,30,10,7,10,0,58,8,0,66,7,14,21,39,40,0,60,1,0,2,36,16,14,0,5,0,277,69,0,0,34,0,21900,2,7,0,56,53,0,1.687025,1,0.357787,0.537947,0.019088,0.082822,0.000037,0.37242,0.019066,0.165526,0.000022,0.269922,0.000001,0.020543,0,0.056781,0.001304,0.01909,0.000002,O2
53,35,14,0,36,12,1,31,2,1,11,0,44,9,0,53,3,18,14,69,36,54,58,2,0,0,53,0,0,0,0,0,335,79,0,0,32,0,0,4,7,0,71,66,0,1.561943,1,0.312388,0.491137,0.039527,0.091449,0.000046,0.777255,0.020882,0.205687,0.018644,0.394202,0.000002,0.011516,0.000001,0.095508,0.003222,0.039523,0.008817,Ofast
61,41,16,0,42,14,1,37,2,1,13,0,57,4,0,61,3,13,16,46,40,32,79,2,0,0,61,0,0,0,0,0,295,81,0,0,32,0,21942,2,7,0,58,57,0,0.946393,1,0.608753,0.80731,0.02282,0.090775,0.000382,0.672631,0.017142,0.13468,0.005679,0.592211,0.000001,0.000271,0,0.036313,0.00776,0.02282,0.005681,O3
45,29,12,0,30,10,1,25,2,1,9,0,41,4,0,45,3,14,12,38,26,16,58,2,0,0,45,0,0,0,0,0,175,36,0,0,24,0,0,2,7,0,47,44,0,0.455531,1,0.45497,0.934656,0.026928,0.110085,0.000043,0.714702,0.020109,0.219955,0.006888,0.550999,0.000001,0.000112,0,0.041363,0.00702,0.026968,0.006883,Ofast
37,23,10,0,24,8,1,19,2,1,7,0,34,3,0,37,3,12,10,29,26,12,58,2,0,0,37,0,0,0,0,0,139,28,0,0,24,0,22067,1,7,0,44,40,0,0.931011,1,0.340104,0.739261,0.015274,0.179358,0.000045,0.380822,0.015233,0.35844,0.000021,0.483584,0.000003,0.000188,0.000001,0.027672,0.011278,0.01523,0.000017,O3
78,52,22,0,53,20,1,45,7,5,15,0,67,11,0,78,2,27,22,122,46,78,25,1,0,0,78,0,0,0,0,0,288,33,0,0,23,0,21983,0,11,0,40,50,18,0.905066,1,0.419369,0.528868,0.000001,0.091945,0,1.145431,0,0.210181,0,0.65141,0.000001,0.000001,0.000001,0.000002,0,0,0,O3
82,57,20,0,57,20,0,54,1,1,18,0,77,5,0,82,1,67,20,106,22,73,55,1,0,0,82,0,0,0,0,0,245,28,0,0,20,0,21970,0,36,0,44,48,9,1.041911,1,0.208352,0.343913,0.002004,0.196929,0.007061,0.211887,0.001748,0.132132,0.00026,0.338168,0.011155,0.003963,0.004157,0.013914,0.000006,0.00207,0,O3
78,38,20,1,42,15,3,32,5,2,7,0,64,14,0,78,11,27,20,113,109,1,32,1,1,2,74,4,0,0,1,1,347,55,0,0,69,0,22042,3,21,0,78,73,43,0.594529,1,0.081842,0.503105,0,0.100652,0.001865,0.280529,0,0.222576,0,0.223393,0,0,0,0.000001,0,0,0,O3
